www.whitehouse.gov,05-13-2020,10:00:01,13.4|14.1|8.17|11.8|8.3|8.62|10.1|8.37|8.87|8.22|8.07,9.82
www.whitehouse.gov,05-13-2020,10:00:01,14.2|11.5|10.0|8.22|15.8|9.74|8.17|9.56|8.23|9.52|8.72,10.332727272727272
www.whitehouse.gov,05-13-2020,22:00:01,12.0|13.1|8.21|9.96|8.47|9.92|8.87|8.52|8.42|8.92|16.2,10.235454545454546
www.whitehouse.gov,05-13-2020,22:00:01,12.3|20.9|9.39|8.32|9.36|8.33|8.61|8.91|9.12|8.88|8.26,10.216363636363637
www.whitehouse.gov,05-14-2020,10:00:01,13.5|12.7|9.89|8.87|8.17|8.07|8.96|8.52|8.06|8.22|8.07,9.366363636363637
www.whitehouse.gov,05-14-2020,10:00:01,13.1|12.5|9.62|8.11|8.37|8.61|8.56|9.66|8.22|8.22|8.22,9.38090909090909
www.whitehouse.gov,05-14-2020,22:00:01,13.1|12.3|8.45|8.9|9.6|8.4|8.5|9.1|9.56|8.26|8.61,9.525454545454545
www.whitehouse.gov,05-14-2020,22:00:01,14.1|14.0|8.52|8.47|9.2|9.67|9.55|8.45|9.14|8.81|8.8,9.882727272727273
www.whitehouse.gov,05-15-2020,10:00:01,11.3|12.0|9.96|8.88|7.97|8.71|11.4|10.4|8.32|10.0|9.87,9.891818181818183
www.whitehouse.gov,05-15-2020,10:00:01,13.9|13.8|9.44|8.1|8.47|8.37|8.31|9.32|8.02|8.47|8.62,9.52909090909091
www.whitehouse.gov,05-15-2020,22:00:01,14.6|13.9|8.72|8.37|8.12|9.46|8.41|9.17|8.97|8.92|10.1,9.885454545454545
www.whitehouse.gov,05-15-2020,22:00:01,15.0|12.6|9.35|8.62|8.82|8.16|8.32|9.81|8.83|8.72|8.47,9.700000000000001
www.whitehouse.gov,05-16-2020,10:00:01,12.3|13.1|9.86|8.71|9.02|9.17|8.31|8.42|8.22|8.07|8.52,9.427272727272728
www.whitehouse.gov,05-16-2020,10:00:01,11.4|12.0|8.91|8.41|8.56|8.17|8.41|9.26|8.18|8.42|9.21,9.175454545454546
www.whitehouse.gov,05-16-2020,22:00:01,12.3|16.6|8.47|8.31|9.52|9.42|10.6|9.02|15.7|8.83|8.07,10.621818181818183
www.whitehouse.gov,05-16-2020,22:00:01,14.2|13.2|8.51|16.2|9.08|8.72|9.76|8.07|8.41|9.07|10.4,10.510909090909092
www.whitehouse.gov,05-17-2020,10:00:01,12.5|13.5|9.13|8.93|8.57|9.01|8.57|9.36|8.62|8.19|8.66,9.549090909090909
www.whitehouse.gov,05-17-2020,10:00:01,22.1|13.3|8.84|8.69|9.4|8.43|8.07|8.13|9.36|8.12|8.28,10.247272727272728
www.whitehouse.gov,05-17-2020,22:00:01,14.3|25.6|8.88|8.22|8.22|8.87|18.0|8.02|8.72|9.72|8.17,11.520000000000001
